"HH_id","SKU.","SKU#","sales","lagsales","ARSP","APP","ARP","APC","brand","form","formula","size","display","feature","V16"
9270,69,32,0,0,1.79,0,0,0,"CLF","S","RG","MD","0","0",0.0258650943807997
9270,70,34,0,0,5.218,0,0,0,"DWN","B","RG","XL","0","0",-0.0655070254688074
9270,71,35,0,0,1.29,0,0,0,"DWN","B","RG","SM","0","0",0.0217327517412306
9270,72,36,0,0,1.79,0,0,0,"DWN","B","RG","SM","0","0",0.00244844273588346
9270,73,37,0,0,3.19,0,0,0,"DWN","B","RG","MD","0","0",-0.00499498619084928
9270,74,38,0,0,4.39,0,0,0,"DWN","B","RG","LR","0","0",-0.0917990869814665
9270,75,39,0,0,5.166,0,0,0,"DWN","B","LT","XL","7","0",-0.0517839545730227
9270,76,40,0,0,1.767,0,0,0,"DWN","B","LT","SM","0","0",-0.00234588623122376
9270,77,41,0,0,3.19,0,0,0,"DWN","B","LT","MD","0","0",-0.0545337491974654
9270,78,42,0,0,4.362,0,0,0,"DWN","B","LT","LR","0","0",-0.077279760849008
9270,79,44,0,0,2.743,0,0,0,"DWN","F","RG","SM","0","0",0.216193057242539
9270,80,45,0,0,4.905,0,0,0,"DWN","F","RG","MD","7","0",-0.00784901870371471
9270,81,46,0,0,2.743,0,0,0,"DWN","F","LT","SM","0","0",0.152050511329533
9270,82,50,0,0,1.89,0,0,0,"DWN","S","RG","SM","0","0",0.0232308571055038
9270,83,51,0,0,2.848,0,0,0,"DWN","S","RG","MD","0","0",-0.042539460081063
9270,84,53,0,0,2.848,0,0,0,"DWN","S","LT","MD","0","0",-0.0620102252573493
9270,85,61,0,0,1.378,0,0,0,"FNT","B","RG","SM","0","0",0.0120043568541552
9270,86,62,0,0,2.509,0,0,0,"FNT","B","RG","MD","0","0",0.174494934757965
9270,87,63,0,0,3.457,0,0,0,"FNT","B","RG","LR","0","0",-0.0289396017516072
9270,88,65,0,0,1.09,0,0,0,"GEN","B","RG","XL","0","0",0.131027456729552
9270,89,66,0,0,1.09,0,0,0,"GEN","B","RG","XL","0","0",0.0785681260279647
9270,90,72,0,0,1.928,0,0,0,"GEN","S","UN","LR","0","0",0.0462380436648891
9270,91,78,0,0,3.169,0,0,0,"PRL","B","RG","XL","0","0",-0.00623466168866503
9270,92,80,0,0,1.109,0,0,0,"PRL","B","RG","SM","0","0",0.0247859299296721
