"HH_id","SKU.","SKU#","sales","lagsales","ARSP","APP","ARP","APC","brand","form","formula","size","display","feature"
9270,81,44,0,0,2.743,0,0,0,"DWN","F","RG","SM","0","0"
9270,82,45,0,0,4.905,0,0,0,"DWN","F","RG","MD","4","0"
9270,83,46,0,0,2.743,0,0,0,"DWN","F","LT","SM","0","0"
9270,84,50,0,0,1.89,0,0,0,"DWN","S","RG","SM","0","0"
9270,85,51,0,0,2.848,0,0,0,"DWN","S","RG","MD","0","0"
9270,86,53,2,0,2.848,1.995,2.99,0.995,"DWN","S","LT","MD","0","0"
9270,87,61,0,0,1.378,0,0,0,"FNT","B","RG","SM","0","0"
9270,88,62,0,0,2.509,0,0,0,"FNT","B","RG","MD","0","0"
9270,89,63,0,0,3.457,0,0,0,"FNT","B","RG","LR","0","0"
9270,90,65,0,0,1.09,0,0,0,"GEN","B","RG","XL","0","0"
9270,91,66,0,0,1.09,0,0,0,"GEN","B","RG","XL","0","0"
9270,92,72,0,0,1.928,0,0,0,"GEN","S","UN","LR","0","0"
9270,93,78,0,1,3.169,0,0,0,"PRL","B","RG","XL","0","0"
9270,94,80,0,0,1.109,0,0,0,"PRL","B","RG","SM","0","0"
9270,95,82,0,0,1.49,0,0,0,"PRL","B","RG","MD","0","0"
9270,96,88,1,0,1.19,0.99,1.19,0.2,"PRL","L","RG","XL","0","0"
9270,97,89,0,0,1.672,0,0,0,"PRL","L","LT","MD","0","0"
9270,98,91,0,0,4.184,0,0,0,"PRL","L","RG","XL","0","0"
9270,99,93,0,0,1.105,0,0,0,"PRL","L","RG","MD","0","0"
9270,100,95,0,0,3.378,0,0,0,"PRL","S","RG","XL","0","0"
9270,101,97,0,0,1.177,0,0,0,"PRL","S","RG","MD","0","2"
9270,102,99,0,0,2.072,0,0,0,"PRL","S","RG","LR","0","0"
9270,103,103,0,0,1.182,0,0,0,"PRL","S","UN","MD","0","2"
9270,104,104,2,0,3.99,3.99,3.99,0,"SNG","B","RG","XL","7","0"
9270,105,106,0,0,1.985,0,0,0,"SNG","B","RG","SM","0","0"
9270,106,107,0,2,3.38,0,0,0,"SNG","B","RG","MD","0","0"
9270,107,108,0,0,4.078,0,0,0,"SNG","B","RG","LR","0","4"
9270,108,111,2,0,3.38,1.99,3.29,1.3,"SNG","B","LT","MD","0","0"
9270,109,112,0,0,4.078,0,0,0,"SNG","B","LT","LR","0","0"
9270,110,114,2,0,1.273,1.19,1.19,0,"SNG","S","RG","SM","0","0"
9270,111,115,0,0,2.875,0,0,0,"SNG","S","RG","MD","0","1"
9270,112,116,0,0,3.29,0,0,0,"SNG","S","RG","LR","0","0"
9270,113,118,2,0,2.74,2.19,2.69,0.5,"SNG","S","LT","MD","0","1"
9270,114,124,8,0,2.258,1.85875,2.29,0.43125,"STP","B","RG","MD","0","0"
9270,115,125,0,0,3.346,0,0,0,"STP","B","RG","LR","0","0"
9270,116,126,0,0,1.967,0,0,0,"STP","F","RG","SM","0","0"
9270,117,130,0,0,1.826,0,0,0,"TSN","S","RG","MD","0","0"
9270,118,131,0,0,2.59,0,0,0,"TSN","S","RG","LR","0","0"
