"IRIweek","SKU.","sales","lagsales","ARSP","APP","ARP","APC","brand","form","formula","size","display","feature","month","season","V17"
593,19,0,0,3.102,0,0,0,"ARM","S","RG","LR",0,0,1,"winter",-0.298885387255658
593,20,0,0,6.178,0,0,0,"BNC","S","RG","XL",0,0,1,"winter",0.342828585493145
593,23,2,18,2.821,2.59,2.59,0,"BNC","S","RG","MD",0,4,1,"winter",1.64773708845512
593,25,1,1,1.69,1.69,1.69,0,"BNC","S","ST","SM",0,0,1,"winter",1.57953460674954
593,26,0,6,2.818,0,0,0,"BNC","S","ST","MD",0,4,1,"winter",0.103420108803715
593,27,0,0,3.876,0,0,0,"BNC","S","ST","LR",0,0,1,"winter",-0.121827691352942
593,29,1,9,2.821,2.59,2.59,0,"BNC","S","UN","MD",0,4,1,"winter",1.35148030970347
593,30,0,0,0.99,0,0,0,"CLF","S","RG","SM",0,0,1,"winter",0.364531867511488
593,31,2,0,1.29,1.29,1.29,0,"CLF","S","RG","SM",0,0,1,"winter",1.64743928085803
593,32,0,1,1.79,0,0,0,"CLF","S","RG","MD",0,0,1,"winter",-0.163505749670754
593,34,0,1,5.218,0,0,0,"DWN","B","RG","XL",0,0,1,"winter",0.130716346665435
593,35,1,0,1.29,1.29,1.29,0,"DWN","B","RG","SM",0,0,1,"winter",1.21257463149809
593,36,1,3,1.79,1.79,1.79,0,"DWN","B","RG","SM",0,0,1,"winter",1.94287969739578
593,37,3,2,3.19,3.19,3.19,0,"DWN","B","RG","MD",0,0,1,"winter",1.81394614288344
593,38,1,0,4.39,4.39,4.39,0,"DWN","B","RG","LR",0,0,1,"winter",1.35294775687052
593,39,0,0,5.166,0,0,0,"DWN","B","LT","XL",0,0,1,"winter",0.263814120384166
593,40,0,0,1.767,0,0,0,"DWN","B","LT","SM",0,0,1,"winter",-0.152017011405499
593,41,1,4,3.19,3.19,3.19,0,"DWN","B","LT","MD",0,0,1,"winter",2.01457112461187
593,42,0,1,4.362,0,0,0,"DWN","B","LT","LR",0,0,1,"winter",-0.105421760315187
593,44,3,3,2.743,2.69,2.69,0,"DWN","F","RG","SM",0,0,1,"winter",3.30677461480654
593,45,0,0,4.905,0,0,0,"DWN","F","RG","MD",7,0,1,"winter",0.350877086426655
593,46,0,1,2.743,0,0,0,"DWN","F","LT","SM",0,0,1,"winter",0.214033974500752
593,50,1,0,1.89,1.89,1.89,0,"DWN","S","RG","SM",0,0,1,"winter",1.59362654197351
593,51,1,0,2.848,2.99,2.99,0,"DWN","S","RG","MD",0,0,1,"winter",1.35002185469579
593,53,0,0,2.848,0,0,0,"DWN","S","LT","MD",0,0,1,"winter",-0.150344947401352
593,61,0,2,1.378,0,0,0,"FNT","B","RG","SM",0,0,1,"winter",0.166113620302365
593,62,4,2,2.509,2.29,2.29,0,"FNT","B","RG","MD",0,0,1,"winter",1.94994883082905
593,63,1,1,3.457,3.29,3.29,0,"FNT","B","RG","LR",0,0,1,"winter",1.52754367864293
593,65,2,3,1.09,1.09,1.09,0,"GEN","B","RG","XL",0,0,1,"winter",1.58160487983525
593,66,2,3,1.09,1.09,1.09,0,"GEN","B","RG","XL",0,0,1,"winter",1.58274458102918
593,72,2,0,1.928,1.99,1.99,0,"GEN","S","UN","LR",0,0,1,"winter",1.61542324710704
593,78,0,0,3.169,0,0,0,"PRL","B","RG","XL",0,0,1,"winter",-0.161007473079985
593,80,0,2,1.109,0,0,0,"PRL","B","RG","SM",0,0,1,"winter",0.111998771725826
593,82,0,1,1.49,0,0,0,"PRL","B","RG","MD",0,0,1,"winter",-0.156673055051962
593,88,0,0,1.19,0,0,0,"PRL","L","RG","XL",0,0,1,"winter",0.332929175687567
593,89,0,0,1.672,0,0,0,"PRL","L","LT","MD",0,0,1,"winter",0.135143829651607
593,91,2,3,4.184,3.99,3.99,0,"PRL","L","RG","XL",0,0,1,"winter",1.78071330624245
593,93,0,0,1.105,0,0,0,"PRL","L","RG","MD",0,0,1,"winter",0.191100824356959
593,95,0,0,3.378,0,0,0,"PRL","S","RG","XL",0,0,1,"winter",0.0188472911278574
593,97,4,6,1.177,1.29,1.29,0,"PRL","S","RG","MD",0,2,1,"winter",1.49680433030791
593,99,0,0,2.072,0,0,0,"PRL","S","RG","LR",0,0,1,"winter",0.016360146741131
593,103,2,1,1.182,1.29,1.29,0,"PRL","S","UN","MD",0,1,1,"winter",1.36039183740879
593,104,0,0,3.99,0,0,0,"SNG","B","RG","XL",0,0,1,"winter",0.15363661562041
593,106,0,1,1.985,0,0,0,"SNG","B","RG","SM",0,0,1,"winter",0.155878331649887
593,107,34,7,3.38,1.99,3.19,1.2,"SNG","B","RG","MD",0,0,1,"winter",11.5310275881243
593,108,0,0,4.078,0,0,0,"SNG","B","RG","LR",0,4,1,"winter",0.185407847413258
593,111,31,8,3.38,1.99,3.19,1.2,"SNG","B","LT","MD",0,0,1,"winter",11.2081929790674
593,112,0,0,4.078,0,0,0,"SNG","B","LT","LR",4,0,1,"winter",0.178488217720482
593,114,5,3,1.273,1.19,1.19,0,"SNG","S","RG","SM",0,0,1,"winter",2.06132327434786
593,115,1,0,2.875,2.19,2.99,0.8,"SNG","S","RG","MD",0,0,1,"winter",5.20901271959789
593,116,0,0,3.29,0,0,0,"SNG","S","RG","LR",0,0,1,"winter",0.163259432949926
593,118,4,0,2.74,2.19,2.99,0.8,"SNG","S","LT","MD",0,1,1,"winter",4.83927720991389
593,124,1,1,2.258,2.29,2.29,0,"STP","B","RG","MD",0,0,1,"winter",1.60973239883758
593,125,0,0,3.346,0,0,0,"STP","B","RG","LR",0,0,1,"winter",-0.130536611595817
593,126,0,0,1.967,0,0,0,"STP","F","RG","SM",0,0,1,"winter",0.342558525424563
593,130,1,2,1.826,1.99,1.99,0,"TSN","S","RG","MD",0,0,1,"winter",1.81754119163896
593,131,0,0,2.59,0,0,0,"TSN","S","RG","LR",0,0,1,"winter",0.202146895485514
594,16,0,1,1.19,0,0,0,"ARM","S","RG","SM",0,0,1,"winter",0.16713922835629
594,17,0,1,2.041,0,0,0,"ARM","S","RG","MD",0,0,1,"winter",-0.249505328330371
594,19,0,0,3.102,0,0,0,"ARM","S","RG","LR",0,0,1,"winter",-0.31101683075447
594,20,0,0,6.178,0,0,0,"BNC","S","RG","XL",0,0,1,"winter",0.333031502249077
594,23,0,2,2.821,0,0,0,"BNC","S","RG","MD",0,4,1,"winter",0.142943775401146
594,25,0,1,1.69,0,0,0,"BNC","S","ST","SM",0,0,1,"winter",0.092528917975242
594,26,0,0,2.818,0,0,0,"BNC","S","ST","MD",0,4,1,"winter",0.352287278135289
594,27,0,0,3.876,0,0,0,"BNC","S","ST","LR",0,0,1,"winter",-0.134523063488632
594,29,0,1,2.821,0,0,0,"BNC","S","UN","MD",0,4,1,"winter",0.206335946254582
594,30,0,0,0.99,0,0,0,"CLF","S","RG","SM",0,0,1,"winter",0.35241419133023
594,31,0,2,1.29,0,0,0,"CLF","S","RG","SM",0,0,1,"winter",0.339326965362939
594,32,0,0,1.79,0,0,0,"CLF","S","RG","MD",0,0,1,"winter",-0.192822472130615
594,34,0,0,5.218,0,0,0,"DWN","B","RG","XL",0,0,1,"winter",0.150251248696375
594,35,0,1,1.29,0,0,0,"DWN","B","RG","SM",0,0,1,"winter",-0.0860539773331079
594,36,0,1,1.79,0,0,0,"DWN","B","RG","SM",0,0,1,"winter",-0.204199975494678
594,37,0,3,3.19,0,0,0,"DWN","B","RG","MD",0,0,1,"winter",-0.283222543018055
594,38,1,1,4.39,4.39,4.39,0,"DWN","B","RG","LR",0,0,1,"winter",1.46961672068
594,39,0,0,5.166,0,0,0,"DWN","B","LT","XL",0,0,1,"winter",0.252127567290971
594,40,0,0,1.767,0,0,0,"DWN","B","LT","SM",0,0,1,"winter",-0.167824961337964
594,41,0,1,3.19,0,0,0,"DWN","B","LT","MD",0,0,1,"winter",-0.186557295074185
594,42,0,0,4.362,0,0,0,"DWN","B","LT","LR",0,0,1,"winter",-0.0860581194427075
594,44,0,3,2.743,0,0,0,"DWN","F","RG","SM",0,0,1,"winter",0.25436138958372
594,45,0,0,4.905,0,0,0,"DWN","F","RG","MD",7,0,1,"winter",0.339328726930639
594,46,0,0,2.743,0,0,0,"DWN","F","LT","SM",0,0,1,"winter",0.173669879370756
594,50,0,1,1.89,0,0,0,"DWN","S","RG","SM",0,0,1,"winter",-0.0771037931557537
594,51,0,1,2.848,0,0,0,"DWN","S","RG","MD",0,0,1,"winter",-0.322639613127614
594,53,0,0,2.848,0,0,0,"DWN","S","LT","MD",0,0,1,"winter",-0.160086037843952
594,61,0,0,1.378,0,0,0,"FNT","B","RG","SM",0,0,1,"winter",0.0417330931984563
594,62,0,4,2.509,0,0,0,"FNT","B","RG","MD",0,0,1,"winter",0.120521369870604
594,63,0,1,3.457,0,0,0,"FNT","B","RG","LR",0,0,1,"winter",-0.170901724717005
594,65,0,2,1.09,0,0,0,"GEN","B","RG","XL",0,0,1,"winter",0.322619164172209
594,66,1,2,1.09,1.09,1.09,0,"GEN","B","RG","XL",0,0,1,"winter",1.50008225787307
594,72,0,2,1.928,0,0,0,"GEN","S","UN","LR",0,0,1,"winter",0.154592142869665
594,78,0,0,3.169,0,0,0,"PRL","B","RG","XL",0,0,1,"winter",-0.17431397371331
594,80,0,0,1.109,0,0,0,"PRL","B","RG","SM",0,0,1,"winter",0.0535898882074286
594,82,0,0,1.49,0,0,0,"PRL","B","RG","MD",0,0,1,"winter",-0.162329337395785
594,88,0,0,1.19,0,0,0,"PRL","L","RG","XL",0,0,1,"winter",0.320582167632894
594,89,0,0,1.672,0,0,0,"PRL","L","LT","MD",0,0,1,"winter",0.12302556771668
594,91,0,2,4.184,0,0,0,"PRL","L","RG","XL",0,0,1,"winter",0.0170025207562055
594,93,0,0,1.105,0,0,0,"PRL","L","RG","MD",0,0,1,"winter",0.181559276840012
594,95,0,0,3.378,0,0,0,"PRL","S","RG","XL",0,0,1,"winter",0.00818899481799495
594,97,0,4,1.177,0,0,0,"PRL","S","RG","MD",0,2,1,"winter",0.123650964992504
594,99,0,0,2.072,0,0,0,"PRL","S","RG","LR",0,0,1,"winter",0.005446805146329
594,103,0,2,1.182,0,0,0,"PRL","S","UN","MD",0,1,1,"winter",0.196606895681095
594,104,0,0,3.99,0,0,0,"SNG","B","RG","XL",0,0,1,"winter",0.140457140078894
594,106,0,0,1.985,0,0,0,"SNG","B","RG","SM",0,0,1,"winter",0.130202242778272
594,107,0,34,3.38,0,0,0,"SNG","B","RG","MD",0,0,1,"winter",0.352885972641135
594,108,0,0,4.078,0,0,0,"SNG","B","RG","LR",0,4,1,"winter",0.17116855532056
594,111,0,31,3.38,0,0,0,"SNG","B","LT","MD",0,0,1,"winter",-0.142435983670162
594,112,1,0,4.078,4.29,4.29,0,"SNG","B","LT","LR",4,0,1,"winter",1.25434724335247
594,114,3,5,1.273,1.19,1.19,0,"SNG","S","RG","SM",0,0,1,"winter",2.20357307635591
594,115,0,1,2.875,0,0,0,"SNG","S","RG","MD",0,0,1,"winter",0.181196425678586
594,116,0,0,3.29,0,0,0,"SNG","S","RG","LR",0,0,1,"winter",0.149967421682448
594,118,0,4,2.74,0,0,0,"SNG","S","LT","MD",0,1,1,"winter",0.0882372283045814
594,124,0,1,2.258,0,0,0,"STP","B","RG","MD",0,0,1,"winter",-0.0245447196721331
594,125,0,0,3.346,0,0,0,"STP","B","RG","LR",0,0,1,"winter",-0.142368842205844
594,126,0,0,1.967,0,0,0,"STP","F","RG","SM",0,0,1,"winter",0.330274964855828
594,130,0,1,1.826,0,0,0,"TSN","S","RG","MD",0,0,1,"winter",0.353211689416813
594,131,0,0,2.59,0,0,0,"TSN","S","RG","LR",0,0,1,"winter",0.189209794317095
595,16,0,0,1.19,0,0,0,"ARM","S","RG","SM",0,0,1,"winter",0.119626609316874
595,17,1,0,2.041,1.99,1.99,0,"ARM","S","RG","MD",0,0,1,"winter",1.22899013970211
595,19,0,0,3.102,0,0,0,"ARM","S","RG","LR",0,0,1,"winter",-0.322483469733521
595,20,0,0,6.178,0,0,0,"BNC","S","RG","XL",0,0,1,"winter",0.323735637237652
595,23,2,0,2.821,2.89,2.89,0,"BNC","S","RG","MD",0,4,1,"winter",1.64731611339605
595,25,3,0,1.69,1.69,1.69,0,"BNC","S","ST","SM",0,0,1,"winter",1.48277069000376
595,26,0,0,2.818,0,0,0,"BNC","S","ST","MD",0,4,1,"winter",0.339173746380576
595,27,1,0,3.876,3.99,3.99,0,"BNC","S","ST","LR",0,4,1,"winter",1.35308076678659
595,29,0,0,2.821,0,0,0,"BNC","S","UN","MD",0,4,1,"winter",0.260947728090878
595,30,0,0,0.99,0,0,0,"CLF","S","RG","SM",0,0,1,"winter",0.34076816313769
595,31,0,0,1.29,0,0,0,"CLF","S","RG","SM",0,0,1,"winter",0.227642932307956
595,32,4,0,1.79,1.79,1.79,0,"CLF","S","RG","MD",0,0,1,"winter",1.32686690834812
595,34,0,0,5.218,0,0,0,"DWN","B","RG","XL",0,0,1,"winter",0.139782395442499
595,35,0,0,1.29,0,0,0,"DWN","B","RG","SM",0,0,1,"winter",-0.136288446670036
595,36,0,0,1.79,0,0,0,"DWN","B","RG","SM",0,0,1,"winter",-0.249320600516506
595,37,0,0,3.19,0,0,0,"DWN","B","RG","MD",0,0,1,"winter",-0.308671621902441
595,38,2,1,4.39,4.39,4.39,0,"DWN","B","RG","LR",0,0,1,"winter",1.45524668435899
595,39,0,0,5.166,0,0,0,"DWN","B","LT","XL",0,0,1,"winter",0.240970392297277
595,40,1,0,1.767,1.79,1.79,0,"DWN","B","LT","SM",0,0,1,"winter",1.39356336952977
595,41,1,0,3.19,3.19,3.19,0,"DWN","B","LT","MD",0,0,1,"winter",1.49811169427535
595,42,8,0,4.362,4.39,4.39,0,"DWN","B","LT","LR",0,0,1,"winter",1.30592310131602
595,44,3,0,2.743,2.69,2.69,0,"DWN","F","RG","SM",0,0,1,"winter",2.64791190932137
595,45,0,0,4.905,0,0,0,"DWN","F","RG","MD",7,0,1,"winter",0.328288971209206
595,46,4,0,2.743,2.69,2.69,0,"DWN","F","LT","SM",0,0,1,"winter",2.55288579093361
595,50,1,0,1.89,1.89,1.89,0,"DWN","S","RG","SM",0,0,1,"winter",1.57538079182289
595,51,3,0,2.848,2.99,2.99,0,"DWN","S","RG","MD",0,0,1,"winter",1.32961987165826
595,53,7,0,2.848,2.99,2.99,0,"DWN","S","LT","MD",0,0,1,"winter",1.36483063062835
595,61,1,0,1.378,1.29,1.29,0,"FNT","B","RG","SM",0,0,1,"winter",1.35150790415431
595,62,1,0,2.509,2.29,2.29,0,"FNT","B","RG","MD",0,0,1,"winter",1.63845888795473
595,63,1,0,3.457,3.29,3.29,0,"FNT","B","RG","LR",0,0,1,"winter",1.35231538442279
595,65,0,0,1.09,0,0,0,"GEN","B","RG","XL",0,0,1,"winter",0.302522807982041
595,66,1,1,1.09,1.09,1.09,0,"GEN","B","RG","XL",0,0,1,"winter",1.42002792865338
595,72,2,0,1.928,1.99,1.99,0,"GEN","S","UN","LR",0,0,1,"winter",1.58841445706566
595,78,0,0,3.169,0,0,0,"PRL","B","RG","XL",0,0,1,"winter",-0.187001267475932
595,80,0,0,1.109,0,0,0,"PRL","B","RG","SM",0,0,1,"winter",0.0393015229832547
595,82,1,0,1.49,1.49,1.49,0,"PRL","B","RG","MD",4,0,1,"winter",1.35267617349232
595,88,0,0,1.19,0,0,0,"PRL","L","RG","XL",0,0,1,"winter",0.308738693429138
595,89,0,0,1.672,0,0,0,"PRL","L","LT","MD",0,0,1,"winter",0.111465905439494
595,91,0,0,4.184,0,0,0,"PRL","L","RG","XL",0,0,1,"winter",0.104136845739015
595,93,0,0,1.105,0,0,0,"PRL","L","RG","MD",0,0,1,"winter",0.172576727118695
595,95,1,0,3.378,3.49,3.49,0,"PRL","S","RG","XL",0,0,1,"winter",1.25418590851432
595,97,1,0,1.177,1.49,1.49,0,"PRL","S","RG","MD",0,2,1,"winter",1.38678988371956
595,99,5,0,2.072,2.29,2.29,0,"PRL","S","RG","LR",0,0,1,"winter",1.3624083769863
595,103,2,0,1.182,1.59,1.59,0,"PRL","S","UN","MD",0,0,1,"winter",1.54686693427755
595,104,0,0,3.99,0,0,0,"SNG","B","RG","XL",0,0,1,"winter",0.127809521447582
595,106,0,0,1.985,0,0,0,"SNG","B","RG","SM",0,0,1,"winter",0.113205700340027
595,107,2,0,3.38,2.9,3.19,0.29,"SNG","B","RG","MD",0,0,1,"winter",2.35262702397509
595,108,14,0,4.078,2.79,4.29,1.5,"SNG","B","RG","LR",0,4,1,"winter",6.04307068247618
595,111,3,0,3.38,3.19,3.19,0,"SNG","B","LT","MD",0,0,1,"winter",1.43691294003564
595,112,26,1,4.078,2.79,4.29,1.5,"SNG","B","LT","LR",4,0,1,"winter",10.6769071178996
595,114,7,3,1.273,1.19,1.19,0,"SNG","S","RG","SM",0,0,1,"winter",2.03978635292681
595,115,1,0,2.875,2.99,2.99,0,"SNG","S","RG","MD",0,0,1,"winter",1.4067818010459
595,116,0,0,3.29,0,0,0,"SNG","S","RG","LR",0,0,1,"winter",0.137208828045478
595,118,0,0,2.74,0,0,0,"SNG","S","LT","MD",0,1,1,"winter",0.239285136590601
595,124,2,0,2.258,2.29,2.29,0,"STP","B","RG","MD",0,0,1,"winter",1.51440523162664
595,125,0,0,3.346,0,0,0,"STP","B","RG","LR",0,0,1,"winter",-0.15360514768369
595,126,0,0,1.967,0,0,0,"STP","F","RG","SM",0,0,1,"winter",0.318458293657059
595,130,1,0,1.826,1.99,1.99,0,"TSN","S","RG","MD",0,0,1,"winter",1.69846828458153
595,131,0,0,2.59,0,0,0,"TSN","S","RG","LR",0,0,1,"winter",0.176758988627205
596,16,0,0,1.19,0,0,0,"ARM","S","RG","SM",0,0,2,"winter",0.111787393974688
596,17,1,1,2.041,1.99,1.99,0,"ARM","S","RG","MD",0,0,2,"winter",1.3696216248405
596,19,0,0,3.102,0,0,0,"ARM","S","RG","LR",0,0,2,"winter",-0.342117964606981
596,20,0,0,6.178,0,0,0,"BNC","S","RG","XL",0,0,2,"winter",0.300913309161282
596,23,0,2,2.821,0,0,0,"BNC","S","RG","MD",0,4,2,"winter",0.0798240066270079
596,25,2,3,1.69,1.69,1.69,0,"BNC","S","ST","SM",0,0,2,"winter",1.74067708127233
596,26,0,0,2.818,0,0,0,"BNC","S","ST","MD",0,4,2,"winter",0.309815937339718
596,27,0,1,3.876,0,0,0,"BNC","S","ST","LR",0,4,2,"winter",0.00898361984366414
596,29,1,0,2.821,2.59,2.89,0.3,"BNC","S","UN","MD",0,4,2,"winter",2.03984739528974
596,30,2,0,0.99,0.99,0.99,0,"CLF","S","RG","SM",0,0,2,"winter",1.47960408019718
596,31,0,0,1.29,0,0,0,"CLF","S","RG","SM",0,0,2,"winter",0.208636685396105
596,32,1,4,1.79,1.79,1.79,0,"CLF","S","RG","MD",0,0,2,"winter",1.8304815785752
596,34,2,0,5.218,5.39,5.39,0,"DWN","B","RG","XL",0,0,2,"winter",1.55731930875996
596,35,1,0,1.29,1.29,1.29,0,"DWN","B","RG","SM",0,0,2,"winter",1.19325684788861
596,36,0,0,1.79,0,0,0,"DWN","B","RG","SM",0,0,2,"winter",-0.273497936012671
596,37,4,0,3.19,3.19,3.19,0,"DWN","B","RG","MD",0,0,2,"winter",1.48623849147572
596,38,20,2,4.39,3.89,4.39,0.5,"DWN","B","RG","LR",4,0,2,"winter",4.42779727556154
596,39,0,0,5.166,0,0,0,"DWN","B","LT","XL",0,0,2,"winter",0.21572308114838
596,40,0,1,1.767,0,0,0,"DWN","B","LT","SM",0,0,2,"winter",-0.194330379295071
596,41,0,1,3.19,0,0,0,"DWN","B","LT","MD",0,0,2,"winter",-0.218687089783802
596,42,6,8,4.362,3.89,4.39,0.5,"DWN","B","LT","LR",0,0,2,"winter",5.30569025255023
596,44,9,3,2.743,2.69,2.69,0,"DWN","F","RG","SM",0,0,2,"winter",3.33647069845699
596,45,0,0,4.905,0,0,0,"DWN","F","RG","MD",0,0,2,"winter",0.286843012572165
596,46,8,4,2.743,2.69,2.69,0,"DWN","F","LT","SM",0,0,2,"winter",3.34415431294619
596,50,2,1,1.89,1.89,1.89,0,"DWN","S","RG","SM",0,0,2,"winter",1.74918601936799
596,51,21,3,2.848,1.99,2.99,1,"DWN","S","RG","MD",4,0,2,"winter",10.6173546457288
596,53,19,7,2.848,1.99,2.99,1,"DWN","S","LT","MD",0,0,2,"winter",11.0219236842751
596,61,0,1,1.378,0,0,0,"FNT","B","RG","SM",0,0,2,"winter",0.0510438428424906
596,62,3,1,2.509,2.29,2.29,0,"FNT","B","RG","MD",0,0,2,"winter",1.8205465491893
596,63,0,1,3.457,0,0,0,"FNT","B","RG","LR",0,0,2,"winter",-0.207212416539025
596,65,1,0,1.09,1.09,1.09,0,"GEN","B","RG","XL",0,0,2,"winter",1.35921178475588
596,66,2,1,1.09,1.09,1.09,0,"GEN","B","RG","XL",0,0,2,"winter",1.42989365782454
596,72,2,2,1.928,1.99,1.99,0,"GEN","S","UN","LR",0,0,2,"winter",1.69872080135681
596,78,1,0,3.169,3.39,3.39,0,"PRL","B","RG","XL",0,0,2,"winter",1.35299319899908
596,80,0,0,1.109,0,0,0,"PRL","B","RG","SM",0,0,2,"winter",0.00905692691318527
596,82,1,1,1.49,1.49,1.49,0,"PRL","B","RG","MD",4,0,2,"winter",1.44619319950087
