IRIweek,SKU#,sales,lagsales,ARSP,APP,ARP,APC,brand,form,formula,size,display,feature,month,season
592,131,0,0,2.59,0,0,0,TSN,S,RG,LR,0,0,1,winter
593,16,1,0,1.19,1.19,1.19,0,ARM,S,RG,SM,0,0,1,winter
593,17,1,1,2.041,1.99,1.99,0,ARM,S,RG,MD,0,0,1,winter
593,19,0,0,3.102,0,0,0,ARM,S,RG,LR,0,0,1,winter
593,20,0,0,6.178,0,0,0,BNC,S,RG,XL,0,0,1,winter
593,23,2,18,2.821,2.59,2.59,0,BNC,S,RG,MD,0,4,1,winter
593,25,1,1,1.69,1.69,1.69,0,BNC,S,ST,SM,0,0,1,winter
593,26,0,6,2.818,0,0,0,BNC,S,ST,MD,0,4,1,winter
593,27,0,0,3.876,0,0,0,BNC,S,ST,LR,0,0,1,winter
593,29,1,9,2.821,2.59,2.59,0,BNC,S,UN,MD,0,4,1,winter
593,30,0,0,0.99,0,0,0,CLF,S,RG,SM,0,0,1,winter
593,31,2,0,1.29,1.29,1.29,0,CLF,S,RG,SM,0,0,1,winter
593,32,0,1,1.79,0,0,0,CLF,S,RG,MD,0,0,1,winter
593,34,0,1,5.218,0,0,0,DWN,B,RG,XL,0,0,1,winter
593,35,1,0,1.29,1.29,1.29,0,DWN,B,RG,SM,0,0,1,winter
593,36,1,3,1.79,1.79,1.79,0,DWN,B,RG,SM,0,0,1,winter
593,37,3,2,3.19,3.19,3.19,0,DWN,B,RG,MD,0,0,1,winter
593,38,1,0,4.39,4.39,4.39,0,DWN,B,RG,LR,0,0,1,winter
593,39,0,0,5.166,0,0,0,DWN,B,LT,XL,0,0,1,winter
593,40,0,0,1.767,0,0,0,DWN,B,LT,SM,0,0,1,winter
593,41,1,4,3.19,3.19,3.19,0,DWN,B,LT,MD,0,0,1,winter
593,42,0,1,4.362,0,0,0,DWN,B,LT,LR,0,0,1,winter
593,44,3,3,2.743,2.69,2.69,0,DWN,F,RG,SM,0,0,1,winter
