"IRIweek","SKU.","sales","lagsales","ARSP","APP","ARP","APC","brand","form","formula","size","display","feature","month","season","V17"
645,19,1,2,3.102,2.99,2.99,0,"ARM","S","RG","LR",0,0,1,"winter",1.43406420774911
645,20,0,0,6.178,0,0,0,"BNC","S","RG","XL",0,0,1,"winter",0.521553533042558
645,23,1,1,2.821,2.69,2.69,0,"BNC","S","RG","MD",0,4,1,"winter",1.32151630765748
645,25,1,3,1.69,1.69,1.69,0,"BNC","S","ST","SM",0,0,1,"winter",1.60912735663912
645,26,0,1,2.818,0,0,0,"BNC","S","ST","MD",0,0,1,"winter",0.143883074919406
645,27,2,0,3.876,3.59,3.59,0,"BNC","S","ST","LR",0,0,1,"winter",0.955202056949821
645,29,0,2,2.821,0,0,0,"BNC","S","UN","MD",4,0,1,"winter",-0.0119449840341197
645,30,1,2,0.99,0.99,0.99,0,"CLF","S","RG","SM",0,0,1,"winter",1.58492358434978
645,31,0,0,1.29,0,0,0,"CLF","S","RG","SM",0,0,1,"winter",0.315806087905782
645,32,1,0,1.79,1.79,1.79,0,"CLF","S","RG","MD",0,0,1,"winter",1.35268129971286
645,34,0,0,5.218,0,0,0,"DWN","B","RG","XL",0,0,1,"winter",0.347592820561173
645,35,0,0,1.29,0,0,0,"DWN","B","RG","SM",0,0,1,"winter",0.0419097169880673
645,36,2,0,1.79,1.79,1.79,0,"DWN","B","RG","SM",0,0,1,"winter",1.3004486752916
645,37,0,3,3.19,0,0,0,"DWN","B","RG","MD",4,0,1,"winter",0.0158433239985076
645,38,0,0,4.39,0,0,0,"DWN","B","RG","LR",0,0,1,"winter",0.0128413734179218
645,39,0,0,5.166,0,0,0,"DWN","B","LT","XL",7,0,1,"winter",0.287399671512905
645,40,0,0,1.767,0,0,0,"DWN","B","LT","SM",0,0,1,"winter",-0.0552963241314373
645,41,2,0,3.19,3.19,3.19,0,"DWN","B","LT","MD",0,0,1,"winter",1.23661182566869
645,42,2,0,4.362,4.39,4.39,0,"DWN","B","LT","LR",0,0,1,"winter",1.03085429398956
645,44,9,6,2.743,2.69,2.69,0,"DWN","F","RG","SM",0,2,1,"winter",3.49367908058991
645,45,0,1,4.905,0,0,0,"DWN","F","RG","MD",0,0,1,"winter",0.532014142208567
645,46,4,5,2.743,2.69,2.69,0,"DWN","F","LT","SM",0,0,1,"winter",3.0280159052338
645,50,0,0,1.89,0,0,0,"DWN","S","RG","SM",0,0,1,"winter",0.158498170737779
645,51,2,1,2.848,2.59,2.59,0,"DWN","S","RG","MD",2,0,1,"winter",1.47936063882863
645,53,0,0,2.848,0,0,0,"DWN","S","LT","MD",0,0,1,"winter",0.230202518719449
645,61,0,0,1.378,0,0,0,"FNT","B","RG","SM",0,0,1,"winter",0.093877438314077
645,62,7,5,2.509,2.19,2.39,0.2,"FNT","B","RG","MD",0,0,1,"winter",3.29626901285663
645,63,2,0,3.457,3.49,3.49,0,"FNT","B","RG","LR",0,0,1,"winter",1.2796720955526
645,65,2,2,1.09,1.09,1.09,0,"GEN","B","RG","XL",0,0,1,"winter",1.48406113277759
645,66,3,1,1.09,1.09,1.09,0,"GEN","B","RG","XL",0,0,1,"winter",1.41838582027676
645,72,3,2,1.928,1.89,1.89,0,"GEN","S","UN","LR",0,0,1,"winter",1.44473980926294
645,78,0,1,3.169,0,0,0,"PRL","B","RG","XL",0,0,1,"winter",-0.0310961739064979
645,80,0,0,1.109,0,0,0,"PRL","B","RG","SM",0,0,1,"winter",0.102491385631927
645,82,2,3,1.49,1.49,1.49,0,"PRL","B","RG","MD",0,0,1,"winter",1.52219021490068
645,88,1,0,1.19,1.19,1.19,0,"PRL","L","RG","XL",0,0,1,"winter",1.29526305178689
645,89,0,0,1.672,0,0,0,"PRL","L","LT","MD",0,0,1,"winter",0.276930666967159
645,91,1,3,4.184,4.29,4.29,0,"PRL","L","RG","XL",0,1,1,"winter",1.5566628750263
645,93,1,1,1.105,0.89,0.89,0,"PRL","L","RG","MD",0,0,1,"winter",1.19281794441399
645,95,0,0,3.378,0,0,0,"PRL","S","RG","XL",0,3,1,"winter",0.154870729861436
645,97,2,6,1.177,0.99,0.99,0,"PRL","S","RG","MD",0,0,1,"winter",1.81772134889704
645,99,0,2,2.072,0,0,0,"PRL","S","RG","LR",0,0,1,"winter",0.209636283363865
645,103,0,1,1.182,0,0,0,"PRL","S","UN","MD",0,0,1,"winter",0.539364130099895
645,104,2,0,3.99,3.99,3.99,0,"SNG","B","RG","XL",0,0,1,"winter",1.14952919386856
645,106,1,1,1.985,1.99,1.99,0,"SNG","B","RG","SM",0,0,1,"winter",1.40895219151283
645,107,4,6,3.38,3.39,3.39,0,"SNG","B","RG","MD",2,0,1,"winter",2.03891720245769
645,108,6,0,4.078,3.19,3.99,0.8,"SNG","B","RG","LR",0,0,1,"winter",2.50131303904644
645,111,0,12,3.38,0,0,0,"SNG","B","LT","MD",2,0,1,"winter",0.00895923210667315
645,112,3,0,4.078,3.19,3.99,0.8,"SNG","B","LT","LR",0,0,1,"winter",2.21037327291388
645,114,8,1,1.273,1.29,1.29,0,"SNG","S","RG","SM",0,0,1,"winter",1.65618217408346
645,115,1,8,2.875,2.69,2.69,0,"SNG","S","RG","MD",2,0,1,"winter",2.11205029878973
645,116,2,0,3.29,3.29,3.29,0,"SNG","S","RG","LR",0,0,1,"winter",1.09367966081133
645,118,0,0,2.74,0,0,0,"SNG","S","LT","MD",0,0,1,"winter",0.488917381854092
645,124,1,0,2.258,2.29,2.29,0,"STP","B","RG","MD",0,0,1,"winter",1.55657417261148
645,125,1,0,3.346,3.29,3.29,0,"STP","B","RG","LR",0,0,1,"winter",1.24661920632825
645,126,0,0,1.967,0,0,0,"STP","F","RG","SM",0,0,1,"winter",0.376801370575925
645,130,1,2,1.826,1.79,1.79,0,"TSN","S","RG","MD",0,0,1,"winter",1.74923618993185
645,131,3,0,2.59,2.59,2.59,0,"TSN","S","RG","LR",0,0,1,"winter",1.33509673497034
646,16,0,0,1.19,0,0,0,"ARM","S","RG","SM",0,0,1,"winter",0.351439589237994
646,17,0,0,2.041,0,0,0,"ARM","S","RG","MD",0,0,1,"winter",0.20041649994896
